MAP_20210402-072150-558_11071	370305.490	6128063.94	82.345	-1.855195	-9.647508	-277.82750	26528.440749	7:21:51.440749
MAP_20210402-072150-737_11072	370309.822	6128064.45	82.457	-1.486048	-9.742069	-277.22733	26528.620567	7:21:51.620567
MAP_20210402-072150-917_11073	370314.161	6128064.92	82.566	-0.980076	-10.03319	-276.03882	26528.800385	7:21:51.800385
MAP_20210402-072151-087_11074	370318.518	6128065.38	82.687	-0.610438	-10.13583	-274.87285	26528.980203	7:21:51.980203
MAP_20210402-072151-267_11075	370322.892	6128065.80	82.813	-0.165270	-10.16238	-273.68598	26529.159993	7:21:52.159993
MAP_20210402-072151-446_11076	370327.282	6128066.20	82.938	0.4613770	-9.946279	-272.36996	26529.339805	7:21:52.339805
MAP_20210402-072151-626_11077	370331.687	6128066.56	83.046	1.0495590	-9.749192	-271.14140	26529.519624	7:21:52.519624
MAP_20210402-072151-806_11078	370336.108	6128066.87	83.134	1.0156560	-9.412469	-270.13487	26529.699442	7:21:52.699442
MAP_20210402-072151-986_11079	370340.545	6128067.13	83.185	0.5539500	-9.231504	-269.67761	26529.879260	7:21:52.879260
MAP_20210402-072152-176_11080	370345.000	6128067.37	83.204	0.1936030	-9.155116	-269.42478	26530.059079	7:21:53.059079
MAP_20210402-072152-356_11081	370349.477	6128067.60	83.216	0.0902090	-9.110472	-269.97920	26530.238890	7:21:53.238890
MAP_20210402-072152-536_11082	370353.970	6128067.80	83.241	-0.263513	-9.240839	-270.87481	26530.418707	7:21:53.418707
MAP_20210402-072152-716_11083	370358.470	6128067.96	83.284	-0.919933	-9.429646	-271.38960	26530.598497	7:21:53.598497
MAP_20210402-072152-895_11084	370362.976	6128068.09	83.320	-1.540449	-9.949146	-271.54148	26530.778314	7:21:53.778314
MAP_20210402-072153-074_11085	370367.489	6128068.20	83.337	-1.525447	-10.51282	-271.06616	26530.958126	7:21:53.958126
MAP_20210402-072153-255_11086	370372.020	6128068.28	83.358	-1.275468	-10.73377	-270.58755	26531.137943	7:21:54.137943
MAP_20210402-072153-434_11087	370376.574	6128068.35	83.379	-0.944625	-10.49207	-270.20011	26531.317761	7:21:54.317761
MAP_20210402-072153-614_11088	370381.142	6128068.39	83.399	-0.396604	-10.00085	-269.40967	26531.497579	7:21:54.497579
MAP_20210402-072153-793_11089	370385.724	6128068.40	83.423	-0.098920	-9.503248	-268.70135	26531.677396	7:21:54.677396
MAP_20210402-072153-974_11090	370390.320	6128068.36	83.446	-0.327937	-9.097750	-267.91403	26531.857208	7:21:54.857208
MAP_20210402-072154-155_11091	370394.923	6128068.29	83.473	-1.103689	-8.898361	-266.93900	26532.036998	7:21:55.036998
MAP_20210402-072154-336_11092	370399.536	6128068.18	83.501	-1.772415	-8.716249	-265.95366	26532.216816	7:21:55.216816
MAP_20210402-072154-515_11093	370404.166	6128068.07	83.520	-2.092033	-8.834329	-265.38220	26532.396635	7:21:55.396635
MAP_20210402-072154-695_11094	370408.822	6128067.96	83.551	-2.203433	-8.932233	-265.61785	26532.576447	7:21:55.576447
MAP_20210402-072154-874_11095	370413.498	6128067.83	83.583	-2.171509	-9.252749	-266.49074	26532.756265	7:21:55.756265
MAP_20210402-072155-053_11096	370418.193	6128067.70	83.608	-2.002435	-9.649295	-267.79394	26532.936083	7:21:55.936083
MAP_20210402-072155-233_11097	370422.906	6128067.55	83.635	-2.124835	-10.09245	-269.57957	26533.115873	7:21:56.115873
MAP_20210402-072155-413_11098	370427.633	6128067.39	83.673	-2.820656	-10.64625	-271.43342	26533.295692	7:21:56.295692
MAP_20210402-072155-593_11099	370432.365	6128067.21	83.721	-4.054847	-11.13726	-272.68784	26533.475504	7:21:56.475504
MAP_20210402-072155-773_11100	370437.098	6128067.01	83.766	-4.888920	-11.52273	-272.84951	26533.655322	7:21:56.655322
MAP_20210402-072155-952_11101	370441.840	6128066.81	83.803	-5.130640	-11.70887	-272.02455	26533.835141	7:21:56.835141
MAP_20210402-072156-132_11102	370446.597	6128066.60	83.843	-5.328104	-11.67426	-270.80562	26534.014959	7:21:57.014959
MAP_20210402-072156-311_11103	370451.374	6128066.41	83.862	-5.362734	-11.60247	-269.67327	26534.194778	7:21:57.194778
MAP_20210402-072156-491_11104	370456.176	6128066.23	83.863	-5.229351	-11.39563	-268.90762	26534.374561	7:21:57.374561
MAP_20210402-072156-671_11105	370461.008	6128066.07	83.871	-5.374753	-11.04847	-268.66531	26534.554380	7:21:57.554380
MAP_20210402-072156-851_11106	370465.864	6128065.92	83.884	-5.681975	-10.52861	-268.81122	26534.734198	7:21:57.734198
MAP_20210402-072157-031_11107	370470.735	6128065.78	83.877	-5.495668	-10.25725	-268.97357	26534.914016	7:21:57.914016
MAP_20210402-072157-169_11108	370475.615	6128065.64	83.847	-4.327378	-10.15218	-268.81449	26535.093828	7:21:58.093828
MAP_20210402-072157-349_11109	370480.510	6128065.50	83.818	-3.279999	-10.21241	-268.74241	26535.273647	7:21:58.273647
MAP_20210402-072157-535_11110	370485.421	6128065.35	83.807	-2.934752	-10.15160	-268.88641	26535.453437	7:21:58.453437
MAP_20210402-072157-709_11111	370490.349	6128065.19	83.823	-3.463078	-9.947321	-269.13794	26535.633255	7:21:58.633255
MAP_20210402-072157-888_11112	370495.291	6128065.02	83.866	-4.025221	-9.751868	-269.24888	26535.813074	7:21:58.813074
MAP_20210402-072158-109_11113	370500.247	6128064.85	83.929	-3.920191	-9.652067	-269.43058	26535.992886	7:21:58.992886
MAP_20210402-072158-290_11114	370505.218	6128064.69	84.012	-3.263362	-9.717404	-269.63643	26536.172704	7:21:59.172704
MAP_20210402-072158-469_11115	370510.202	6128064.53	84.123	-2.609839	-9.844713	-269.81439	26536.352522	7:21:59.352522
MAP_20210402-072158-650_11116	370515.202	6128064.36	84.278	-2.623557	-10.02848	-270.08519	26536.532341	7:21:59.532341
MAP_20210402-072158-829_11117	370520.219	6128064.19	84.485	-3.231056	-10.08893	-270.16821	26536.712153	7:21:59.712153
MAP_20210402-072159-009_11118	370525.250	6128064.01	84.733	-4.136410	-10.15954	-269.91928	26536.891943	7:21:59.891943
MAP_20210402-072159-189_11119	370530.290	6128063.83	84.990	-4.586305	-10.31947	-269.21080	26537.071761	7:22:00.071761
MAP_20210402-072159-369_11120	370535.344	6128063.67	85.224	-4.253939	-10.75405	-268.50720	26537.251580	7:22:00.251580
MAP_20210402-072159-548_11121	370540.419	6128063.52	85.415	-3.106474	-11.24620	-268.16523	26537.431398	7:22:00.431398
MAP_20210402-072159-729_11122	370545.521	6128063.39	85.575	-1.883377	-11.65731	-268.46992	26537.611210	7:22:00.611210
MAP_20210402-072159-908_11123	370550.650	6128063.25	85.716	-1.079052	-11.80157	-269.36408	26537.791029	7:22:00.791029
MAP_20210402-072200-087_11124	370555.798	6128063.11	85.841	-0.812070	-11.72088	-270.38399	26537.970818	7:22:00.970818
MAP_20210402-072200-266_11125	370560.959	6128062.94	85.935	-0.529902	-11.55221	-271.01161	26538.150637	7:22:01.150637
MAP_20210402-072200-446_11126	370566.125	6128062.73	85.993	-0.053195	-11.42048	-270.86796	26538.330449	7:22:01.330449
MAP_20210402-072200-626_11127	370571.304	6128062.50	86.031	0.4921840	-11.27856	-270.36574	26538.510267	7:22:01.510267
MAP_20210402-072200-806_11128	370576.507	6128062.25	86.077	0.7414990	-11.00068	-270.24929	26538.690086	7:22:01.690086
MAP_20210402-072200-986_11129	370581.731	6128061.98	86.125	0.9493540	-10.91474	-270.42093	26538.869904	7:22:01.869904
MAP_20210402-072201-167_11130	370586.974	6128061.68	86.173	1.1449840	-11.03075	-270.83159	26539.049694	7:22:02.049694
MAP_20210402-072201-346_11131	370592.236	6128061.37	86.223	1.3432140	-11.28466	-271.26879	26539.229506	7:22:02.229506
MAP_20210402-072201-526_11132	370597.515	6128061.02	86.273	1.3933500	-11.64687	-271.83418	26539.409325	7:22:02.409325
MAP_20210402-072201-708_11133	370602.806	6128060.65	86.321	1.5009030	-11.84837	-271.94799	26539.589143	7:22:02.589143
MAP_20210402-072201-886_11134	370608.111	6128060.25	86.381	1.3984820	-11.90037	-271.73530	26539.768961	7:22:02.768961
MAP_20210402-072202-066_11135	370613.430	6128059.81	86.447	1.0153530	-11.69519	-270.95625	26539.948780	7:22:02.948780
MAP_20210402-072202-247_11136	370618.761	6128059.34	86.517	0.8323570	-11.46275	-269.68774	26540.128592	7:22:03.128592
MAP_20210402-072202-425_11137	370624.109	6128058.86	86.602	1.1105490	-11.12041	-268.23786	26540.308382	7:22:03.308382
MAP_20210402-072202-606_11138	370629.479	6128058.36	86.685	1.7297310	-10.88169	-267.26532	26540.488200	7:22:03.488200
MAP_20210402-072202-785_11139	370634.868	6128057.84	86.756	2.4666290	-10.92580	-266.98650	26540.668019	7:22:03.668019
MAP_20210402-072202-966_11140	370640.276	6128057.31	86.824	2.8881850	-10.98090	-267.22203	26540.847831	7:22:03.847831
MAP_20210402-072203-118_11141	370645.699	6128056.74	86.896	2.8802330	-11.01544	-267.75827	26541.027649	7:22:04.027649
MAP_20210402-072203-299_11142	370651.130	6128056.13	86.962	2.6338090	-10.96036	-268.06241	26541.207468	7:22:04.207468
MAP_20210402-072203-477_11143	370656.563	6128055.49	87.002	2.5932640	-10.97305	-268.12056	26541.387258	7:22:04.387258
MAP_20210402-072203-657_11144	370662.005	6128054.82	87.023	2.5076930	-10.83482	-267.86318	26541.567076	7:22:04.567076
MAP_20210402-072203-836_11145	370667.452	6128054.10	87.041	2.2307660	-10.60427	-267.15161	26541.746889	7:22:04.746889
MAP_20210402-072204-044_11146	370672.905	6128053.36	87.071	1.6658740	-10.28907	-266.10095	26541.926707	7:22:04.926707
MAP_20210402-072204-224_11147	370678.365	6128052.59	87.115	1.0885980	-9.939017	-264.92161	26542.106525	7:22:05.106525
MAP_20210402-072204-403_11148	370683.831	6128051.80	87.176	0.7809410	-9.631726	-263.63717	26542.286344	7:22:05.286344
MAP_20210402-072204-584_11149	370689.309	6128051.01	87.268	0.7093330	-9.327007	-262.70554	26542.466156	7:22:05.466156
MAP_20210402-072204-764_11150	370694.799	6128050.19	87.403	0.7264220	-9.245835	-262.07414	26542.645974	7:22:05.645974
MAP_20210402-072204-944_11151	370700.296	6128049.36	87.579	0.8613440	-9.075188	-261.65536	26542.825765	7:22:05.825765
MAP_20210402-072205-124_11152	370705.801	6128048.51	87.793	1.1778040	-9.097321	-261.44274	26543.005583	7:22:06.005583
MAP_20210402-072205-304_11153	370711.314	6128047.65	88.041	1.8341460	-9.161342	-261.67728	26543.185401	7:22:06.185401
MAP_20210402-072205-483_11154	370716.833	6128046.76	88.317	2.6283870	-9.459684	-262.20564	26543.365213	7:22:06.365213
MAP_20210402-072205-664_11155	370722.354	6128045.84	88.618	3.3392110	-9.806144	-262.57614	26543.545032	7:22:06.545032
MAP_20210402-072205-843_11156	370727.871	6128044.87	88.931	3.9169670	-10.12749	-262.42853	26543.724850	7:22:06.724850
MAP_20210402-072206-021_11157	370733.385	6128043.86	89.231	4.5264040	-10.57315	-261.85586	26543.904641	7:22:06.904641
MAP_20210402-072206-201_11158	370738.902	6128042.80	89.502	5.3724120	-11.01322	-261.09622	26544.084454	7:22:07.084454
MAP_20210402-072206-381_11159	370744.439	6128041.72	89.755	6.0164790	-11.33183	-261.04194	26544.264272	7:22:07.264272
MAP_20210402-072206-561_11160	370750.000	6128040.60	90.000	6.3724080	-11.31087	-261.85408	26544.444091	7:22:07.444091
MAP_20210402-072206-741_11161	370755.579	6128039.44	90.240	6.2424910	-11.19257	-263.13072	26544.623909	7:22:07.623909
MAP_20210402-072206-920_11162	370761.165	6128038.23	90.476	5.7066200	-10.91336	-264.26989	26544.803728	7:22:07.803728
MAP_20210402-072207-101_11163	370766.761	6128036.97	90.717	4.7952100	-10.56702	-265.26410	26544.983540	7:22:07.983540
MAP_20210402-072207-281_11164	370772.368	6128035.67	90.965	3.7785730	-10.33172	-266.31242	26545.163330	7:22:08.163330
MAP_20210402-072207-461_11165	370777.983	6128034.35	91.221	2.7174390	-9.960012	-267.05329	26545.343148	7:22:08.343148
MAP_20210402-072207-640_11166	370783.605	6128033.01	91.475	1.6342640	-9.777110	-267.67777	26545.522966	7:22:08.522966
MAP_20210402-072207-820_11167	370789.238	6128031.67	91.732	0.4209540	-9.524604	-268.22198	26545.702785	7:22:08.702785
MAP_20210402-072208-000_11168	370794.881	6128030.32	92.003	-0.897421	-9.357963	-268.58729	26545.882597	7:22:08.882597
